2a06:a005:2f90::/44,BR,BR-SP,Florida Paulista,17830-000
2a06:a005:fa0::/44,BR,BR-SP,Florida Paulista,17830-000
2a12:dd47:80c0::/45,BR,BR-SP,Florida Paulista,17830-000
2a12:dd47:80c0::/48,US,US-FL,Miami,33109
2a06:a005:1360::/44,BR,BR-SP,Florida Paulista,17830-000
2a06:a005:1370::/44,BR,BR-SP,Florida Paulista,17830-000
2a06:a005:2ac0::/44,US,US-FL,Miami,33109
2a06:a005:1361::/48,BR,BR-SP,Sao Paulo,04013-043
2a06:a005:1362::/48,BR,BR-SP,Sao Paulo,04013-043
2a07:54c1:44ea::/48,US,US-NY,New York,10016
2a12:dd47:80cb::/48,US,US-NY,New York,10016
2a0f:b241:3a::/48,US,US-NY,New York,10016
